PeakID (cmd=annotatePeaks.pl reproducible_peaks_filtered.bed GRCh38.primary_assembly.genome.fa -gtf gencode.v45.primary_assembly.annotation.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr19-152	chr19	2525020	2525282	+	1	NA	intron (ENST00000587867.1, intron 3 of 5)	protein_coding-intron (ENST00000382159.8, intron 3 of 4)	-12961	ENST00000590044.1	ENSG00000105694	ENST00000590044			ELOCP28			processed_pseudogene
chr7-146	chr7	105024867	105025129	+	1	NA	intron (ENST00000700500.1, intron 1 of 5)	protein_coding-intron (ENST00000257745.9, intron 1 of 26)	10566	ENST00000667857.1	ENSG00000005483	ENST00000415513			KMT2E			protein_coding
chr20-43	chr20	18058965	18059227	+	1	NA	promoter-TSS (ENST00000429853.1)	lncRNA-promoter-TSS (ENST00000429853.1)	-46	ENST00000483661.5	ENSG00000125850	ENST00000494030			OVOL2			protein_coding
chr16-78	chr16	85492027	85492289	+	1	NA	intron (ENST00000637419.1, intron 2 of 2)	protein_coding-intron (ENST00000637419.1, intron 2 of 2)	2345	ENST00000620845.1	ENSG00000278716	ENST00000620845			ENSG00000278716			lncRNA
chr5-107	chr5	76337985	76338247	+	1	NA	intron (ENST00000322285.7, intron 12 of 12)	protein_coding-intron (ENST00000322285.7, intron 12 of 12)	-26654	ENST00000502589.1	ENSG00000250348	ENST00000502589			ENSG00000250348			lncRNA
chr7-189	chr7	133082144	133082406	+	1	NA	promoter-TSS (ENST00000262570.10)	protein_coding-promoter-TSS (ENST00000262570.10)	-185	ENST00000262570.10	ENSG00000106554	ENST00000448878			CHCHD3			protein_coding
chr11-30	chr11	65027622	65027884	+	1	NA	intron (ENST00000524831.5, intron 1 of 4)	protein_coding-intron (ENST00000301886.3, intron 4 of 10)	205	ENST00000525648.1	ENSG00000110025	ENST00000525648			SNX15			protein_coding
chr16-11	chr16	25258157	25258419	+	1	NA	promoter-TSS (ENST00000328086.12)	protein_coding-promoter-TSS (ENST00000328086.12)	336	ENST00000612792.1	ENSG00000274925	ENST00000612792			ZKSCAN2-DT			lncRNA
chr16-85	chr16	28974607	28974869	+	1	NA	promoter-TSS (ENST00000311008.16)	protein_coding-promoter-TSS (ENST00000311008.16)	-34	ENST00000565975.5	ENSG00000169682	ENST00000568388			SPNS1			protein_coding
chr14-84	chr14	92748372	92748634	+	1	NA	promoter-TSS (ENST00000553918.1)	protein_coding-promoter-TSS (ENST00000553918.1)	67	ENST00000553918.1	ENSG00000100600	ENST00000553802			LGMN			protein_coding
chr2-297	chr2	190980104	190980366	+	1	NA	promoter-TSS (ENST00000673762.1)	protein_coding-promoter-TSS (ENST00000673762.1)	-2	ENST00000673832.1	ENSG00000115415	ENST00000673638			STAT1			protein_coding
chr3-30	chr3	63936650	63936912	+	1	NA	intron (ENST00000674280.1, intron 4 of 12)	protein_coding-intron (ENST00000295900.10, intron 4 of 12)	24193	ENST00000522345.2	ENSG00000163635	ENST00000475897			ATXN7			protein_coding
chr1-631	chr1	933167	933429	+	1	NA	intron (ENST00000622503.5, intron 3 of 12)	protein_coding-intron (ENST00000341065.8, intron 2 of 11)	2986	ENST00000341065.8	ENSG00000187634	ENST00000474461			SAMD11			protein_coding
